가격,차량정보,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,옵션
23800000,158가8354,20년06월(20년형),"110,562km",가솔린,오토,정보없음,SUV,"3,778cc",검정,정보없음,없음,없음,사고없음,없음,없음,있음,1회,"['전동접이식미러', '열선시트', '통풍시트', '파워핸들', '핸들 리모컨', '가죽시트', '운전석전동시트', '슈퍼비전계기판', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', 'ABS', 'TCS', '스마트키', '파워윈도우', '풀오토에어컨', 'ECM룸밀러', '크루즈컨트롤', '핸들열선', '내비게이션', 'MP3']"
32990000,230오1454,21년04월(21년형),"94,540km",가솔린,오토,정보없음,대형,"3,778cc",검정,정보없음,없음,1 건,사고없음,없음,없음,있음,1회,"['제논라이트(HID)', '알루미늄휠', '전동접이식미러', '주간주행등(DRL)', 'LED리어램프', '하이빔 어시스트', '어댑티드헤드램프', '열선시트', '통풍시트', '파워핸들', '핸들 리모컨', '가죽시트', '운전석전동시트', '뒷좌석전동시트', '메모리시트', '안마시트', '패들시프트', '하이패스', '메모리시트(동승석)', '열선시트(뒷좌석)', '엠비언트라이트', '워크인시트', '전동햇빛가리개', '통풍시트(동승석)', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', '어라운드뷰', '블랙박스', 'ABS', 'ECS', 'TCS', '차체자세제어장치', '차선이탈경보장치', '도난경보기', '타이어 공기압감지', '무릎에어백', '주차감지센서(전방)', '전방카메라', '자동긴급제동(AEB)', '스마트키', '파워윈도우', '자동도어잠금', '풀오토에어컨', '오토라이트', '자동주차시스템', '전자식파킹브레이크', 'HUD', 'ECM룸밀러', '크루즈컨트롤', '전동트렁크', '핸들열선', '무선도어 잠금장치', '레인센서와이퍼', '스탑앤고', '무선충전', '내비게이션', 'CD체인저', 'AV시스템', 'MP3', 'AUX', 'USB', '핸즈프리', 'iPod 단자', '스마트폰미러링', '블루투스']"
15990000,121우1331,19년06월(19년형),"71,830km",디젤,오토,정보없음,SUV,"1,598cc",검정,정보없음,없음,없음,사고없음,없음,없음,있음,2회,"['제논라이트(HID)', '알루미늄휠', '열선시트', '핸들 리모컨', '가죽시트', '운전석전동시트', '뒷좌석전동시트', '안마시트', '하이패스', '메모리시트(동승석)', '열선시트(뒷좌석)', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', '어라운드뷰', 'ABS', 'ECS', 'TCS', '차선이탈경보장치', '타이어 공기압감지', '주차감지센서(전방)', '전방카메라', '스마트키', '풀오토에어컨', '자동주차시스템', 'ECM룸밀러', '크루즈컨트롤', '전동트렁크', '핸들열선', '레인센서와이퍼', '내비게이션', 'CD체인저', 'MP3', 'AUX', 'USB']"
57800000,290두2900,20년07월(21년형),"40,132km",가솔린,오토,정보없음,대형,"5,038cc",회색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,"['썬루프', '열선시트', '통풍시트', '메모리시트', '어라운드뷰', '차체자세제어장치', '차선이탈경보장치', '전자식파킹브레이크', 'HUD', '크루즈컨트롤', '핸들열선', '내비게이션']"
60990000,299소4078,23년06월(24년형),"37,328km",가솔린,오토,정보없음,대형,"2,497cc",무광.마칼루그레이,없음,없음,없음,사고없음,없음,없음,없음,없음,"['썬루프', '제논라이트(HID)', '알루미늄휠', '파노라마썬루프', '어댑티드헤드램프', '열선시트', '통풍시트', '핸들 리모컨', '가죽시트', '운전석전동시트', '조수석전동시트', '뒷좌석전동시트', '메모리시트', '하이패스', '메모리시트(동승석)', '열선시트(뒷좌석)', '통풍시트(동승석)', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', '어라운드뷰', 'ABS', 'TCS', '차체자세제어장치', '차선이탈경보장치', '타이어 공기압감지', '무릎에어백', '주차감지센서(전방)', '전방카메라', '자동긴급제동(AEB)', '스마트키', '파워윈도우', '풀오토에어컨', '자동주차시스템', '전자식파킹브레이크', 'HUD', 'ECM룸밀러', '크루즈컨트롤', '전동트렁크', '핸들열선', '레인센서와이퍼', '내비게이션', 'MP3', 'AUX', 'USB', '핸즈프리', 'iPod 단자']"
46900000,172수3340,21년01월(21년형),"96,843km",가솔린,오토,정보없음,대형,"3,470cc",검정색,없음,없음,없음,사고없음,없음,없음,없음,없음,"['열선시트', '통풍시트', '메모리시트', '어라운드뷰', '차체자세제어장치', '차선이탈경보장치', '전자식파킹브레이크', 'HUD', '크루즈컨트롤', '핸들열선', '내비게이션']"
41500000,353보3574,22년08월(23년형),"13,194km",가솔린,오토,정보없음,RV,"3,470cc",미색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,"['썬루프', '제논라이트(HID)', '알루미늄휠', '열선시트', '통풍시트', '핸들 리모컨', '가죽시트', '운전석전동시트', '조수석전동시트', '메모리시트', '안마시트', '하이패스', '열선시트(뒷좌석)', '통풍시트(동승석)', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', '어라운드뷰', 'ABS', 'ECS', 'TCS', '차체자세제어장치', '차선이탈경보장치', '타이어 공기압감지', '무릎에어백', '주차감지센서(전방)', '전방카메라', '자동긴급제동(AEB)', '스마트키', '파워윈도우', '풀오토에어컨', '자동주차시스템', '전자식파킹브레이크', 'ECM룸밀러', '크루즈컨트롤', '전동트렁크', '핸들열선', '레인센서와이퍼', '내비게이션', 'MP3', 'AUX', 'USB', '핸즈프리', 'iPod 단자']"
56500000,63머1163,23년03월(23년형),"36,256km",전기,오토,정보없음,SUV,111cc,흰색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,"['알루미늄휠', '열선시트', '통풍시트', '핸들 리모컨', '가죽시트', '운전석전동시트', '하이패스', '열선시트(뒷좌석)', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', '어라운드뷰', '차선이탈경보장치', '타이어 공기압감지', '주차감지센서(전방)', '전방카메라', '스마트키', '풀오토에어컨', 'ECM룸밀러', '전동트렁크', '핸들열선', '레인센서와이퍼', '내비게이션', 'USB']"
62200000,129루5147,23년02월(23년형),"8,964km",가솔린,오토,정보없음,SUV,"1,998cc",검정,정보없음,없음,없음,사고없음,없음,없음,없음,없음,"['썬루프', '전동접이식미러', '파노라마썬루프', '열선시트', '통풍시트', '파워핸들', '핸들 리모컨', '가죽시트', '운전석전동시트', '메모리시트', '슈퍼비전계기판', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', '블랙박스', 'ABS', 'TCS', '차체자세제어장치', '차선이탈경보장치', '스마트키', '파워윈도우', '풀오토에어컨', '전자식파킹브레이크', 'ECM룸밀러', '크루즈컨트롤', '핸들열선', '내비게이션']"
30200000,69오5496,19년01월(19년형),"80,642km",디젤,오토,정보없음,RV,"2,199cc",검정,정보없음,없음,1 건,사고없음,없음,없음,없음,1회,"['열선시트', '통풍시트', '메모리시트', '후방감지센서', '어라운드뷰', '차체자세제어장치', '차선이탈경보장치', '주차감지센서(전방)', '스마트키', '전자식파킹브레이크', 'ECM룸밀러', '크루즈컨트롤', '핸들열선', '내비게이션']"
12400000,65로8849,19년04월(19년형),"74,193km",가솔린,오토,정보없음,SUV,"1,997cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,"['알루미늄휠', '전동접이식미러', '열선시트', '핸들 리모컨', '가죽시트', '운전석전동시트', '조수석전동시트', '하이패스', '열선시트(뒷좌석)', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', 'ABS', 'ECS', 'TCS', '도난경보기', '타이어 공기압감지', '무릎에어백', '주차감지센서(전방)', '스마트키', '파워윈도우', '자동도어잠금', '풀오토에어컨', '오토라이트', '전자식파킹브레이크', 'ECM룸밀러', '크루즈컨트롤', '스탑앤고', '내비게이션', 'CD플레이어', 'CD체인저', 'AV시스템', 'MP3', 'AUX', 'USB', '핸즈프리', 'iPod 단자', '스마트폰미러링', '블루투스']"
21200000,274어1422,19년12월(20년형),"18,202km",가솔린,오토,정보없음,SUV,"1,591cc",회색,정보없음,없음,없음,사고없음,없음,없음,없음,2회,"['제논라이트(HID)', '알루미늄휠', '열선시트', '통풍시트', '핸들 리모컨', '가죽시트', '운전석전동시트', '뒷좌석전동시트', '메모리시트', '안마시트', '하이패스', '메모리시트(동승석)', '열선시트(뒷좌석)', '후방감지센서', '사이드&커튼에어백', '운전석에어백', '조수석에어백', '후방카메라', '어라운드뷰', 'ABS', 'ECS', 'TCS', '차체자세제어장치', '차선이탈경보장치', '타이어 공기압감지', '주차감지센서(전방)', '전방카메라', '스마트키', '풀오토에어컨', '자동주차시스템', 'ECM룸밀러', '크루즈컨트롤', '전동트렁크', '핸들열선', '레인센서와이퍼', '내비게이션', 'CD체인저', 'MP3', 'AUX', 'USB']"
16500000,167저9441,22년11월(23년형),"21,246km",가솔린,오토,정보없음,경차,998cc,회색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,['내비게이션']
475000000,340어5588,23년02월(23년형),"6,553km",가솔린,오토,정보없음,스포츠카,"3,902cc",흰색,정보없음,없음,없음,사고없음,없음,없음,없음,2회,['스마트키']
41000000,25고4732,21년09월(21년형),"43,097km",전기,오토,정보없음,준중형,236cc,"파랑(남색,곤색)",정보없음,없음,없음,사고없음,없음,없음,없음,없음,"['열선시트', '통풍시트', '차선이탈경보장치', 'ECM룸밀러', '핸들열선', '내비게이션']"
29700000,190누2655,23년04월(23년형),"9,669km",가솔린,오토,정보없음,SUV,"1,598cc",흰색,정보없음,없음,없음,사고없음,없음,없음,없음,2회,"['열선시트', '통풍시트', '메모리시트', '후방감지센서', '어라운드뷰', '차체자세제어장치', '차선이탈경보장치', '스마트키', 'ECM룸밀러', '핸들열선', '내비게이션']"
