최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,가격,option,변속기,Unnamed: 14
2021.07.18,"44,354km",가솔린,"2,497cc",우유니 화이트,울트라마린블루,SUV,5인승,AWD,181루3587,2021년,"53,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2021.03.25,"26,333km",가솔린,"2,497cc",카본 메탈,울트라마린블루,SUV,5인승,AWD,156저7829,2021년,"55,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
,,,,,,,,,,,,", , , , , , , , , , , , , , ",,
2021.04.19,"22,852km",가솔린,"2,497cc",마테호른 화이트(무광),옵시디언블랙/세비야레드투톤,SUV,5인승,2WD,225로5996,2021년,"54,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2022.07.18,"24,844km",가솔린,"2,497cc",우유니 화이트,하바나 브라운,SUV,5인승,2WD,337러7653,2022년,"48,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2021.05.06,"37,805km",가솔린,"2,497cc",카본 메탈,파인그로브그린투톤(파인그로브그린시트),SUV,5인승,AWD,392러7654,2021년,"54,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2023.04.26,"6,013km",가솔린,"2,497cc",비크 블랙,바닐라베이지투톤,SUV,5인승,2WD,239루4182,2023년,"48,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 선루프, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2023.01.01,"42,947km",가솔린,"2,497cc",비크 블랙,하바나 브라운,SUV,5인승,AWD,239루4196,2023년,"52,800,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2023.09.25,"4,768km",가솔린,"3,470cc",우유니 화이트,바닐라베이지투톤,SUV,5인승,AWD,233저1165,2023년,"65,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2023.09.24,"5,512km",가솔린,"2,497cc",마테호른 화이트(무광),스포츠전용_바닐라 베이지 투톤,SUV,5인승,AWD,233저1186,2023년,"65,100,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2023.10.17,857km,가솔린,"3,470cc",세빌 실버,옵시디언블랙,SUV,5인승,AWD,228보2964,2023년,"68,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2023.10.26,"11,689km",가솔린,"3,470cc",우유니 화이트,스포츠전용_바닐라 베이지 투톤,SUV,5인승,AWD,228보2969,2023년,"64,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열/2열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
2022.11.24,"10,463km",가솔린,"2,497cc",비크 블랙,울트라마린블루,SUV,5인승,2WD,239루4157,2022년,"52,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",오토,
