최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option,Unnamed: 14
2022.05.18,"16,019km",하이브리드,"1,598cc",크리미 화이트 펄,브라운,SUV,5인승,2WD,153루6853,2022년,오토,"37,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
,,,,,,,,,,,,,", , , , , , , , , , , , , , , ",
2020.07.22,"44,532km",디젤,"2,151cc",포레스트 그레이 메탈릭,블랙,SUV,7인승,AWD,322구4689,2020년,오토,"33,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.07.20,"37,378km",하이브리드,"1,598cc",마그네틱 그레이 메탈릭,카멜,SUV,5인승,2WD,262머1544,2021년,오토,"37,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2022.08.31,"12,641km",하이브리드,"1,598cc",크리미 화이트 펄,블랙모노톤,SUV,5인승,2WD,148머5759,2022년,오토,"36,400,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2022.06.20,"22,045km",하이브리드,"1,598cc",크리미 화이트 펄,블랙모노톤,SUV,5인승,2WD,355구3738,2022년,오토,"36,100,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.03.16,"54,858km",디젤,"2,151cc",글래시어 화이트 메탈릭,브라운,SUV,5인승,2WD,250다8131,2021년,오토,"28,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 후방 모니터, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2023.06.01,"14,366km",하이브리드,"1,598cc",크리미 화이트 펄,블랙모노톤,SUV,5인승,2WD,207러2116,2023년,오토,"40,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.12.12,"10,248km",가솔린,"2,497cc",크리미 화이트 펄,블랙,SUV,5인승,2WD,299머5605,2021년,오토,"38,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2021.02.16,"67,042km",디젤,"2,151cc",팬텀 블랙 펄,다크베이지,SUV,5인승,2WD,112누1122,2021년,오토,"30,300,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 전동식 트렁크, 선루프, 헤드업 디스플레이, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
2022.05.25,"11,359km",가솔린,"2,497cc",크리미 화이트 펄,블랙,SUV,5인승,AWD,277가4000,2022년,오토,"40,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고",
