최초등록,주행거리,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,차량번호,연식,변속기,가격,option
2021.02.21,"53,540km",가솔린,"2,497cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,236누3398,2021년,오토,"28,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.06.01,"39,929km",하이브리드,"2,359cc",크리미 화이트 펄,블랙모노톤,승용,5인승,2WD,155로3577,2022년,오토,"38,000,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.03.11,"85,128km",가솔린,"2,497cc",미드나잇 블랙 펄,카키 모노톤,승용,5인승,2WD,191가1829,2020년,오토,"28,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.06.09,"50,005km",가솔린,"2,497cc",글로윙 실버 메탈릭,베이지,승용,5인승,2WD,236누3325,2020년,오토,"29,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.02.25,"92,369km",하이브리드,"2,359cc",녹턴 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,236누3313,2020년,오토,"32,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.03.04,"86,040km",가솔린,"3,342cc",미드나잇 블랙 펄,브라운,승용,5인승,2WD,149무7981,2021년,오토,"27,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 전방 주차거리 경고"
2021.02.02,"52,648km",가솔린,"2,497cc",미드나잇 블랙 펄,브라운,승용,5인승,2WD,373오8679,2021년,오토,"31,700,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 선루프, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.05.12,"57,270km",가솔린,"2,497cc",녹턴 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,321너8460,2020년,오토,"26,600,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 전동시트(1열), 가죽 시트, 후방 모니터, 차선 이탈 경보, 전방 주차거리 경고"
2020.05.19,"50,898km",가솔린,"2,497cc",크리미 화이트 펄,베이지,승용,5인승,2WD,373오8672,2020년,오토,"29,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.04.19,"11,987km",가솔린,"3,342cc",녹턴 그레이 메탈릭,네이비,승용,5인승,2WD,137보7092,2021년,오토,"30,100,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 전동시트(1열), 가죽 시트, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2022.06.15,"24,086km",가솔린,"2,497cc",크리미 화이트 펄,블랙/베이지(베이지시트),승용,5인승,2WD,307모5564,2022년,오토,"31,500,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2020.03.16,"59,075km",가솔린,"2,497cc",녹턴 그레이 메탈릭,카키 모노톤,승용,5인승,2WD,160두8087,2020년,오토,"29,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동 시트 (운전석), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.06.09,"50,940km",가솔린,"2,497cc",크리미 화이트 펄,블랙모노톤,승용,5인승,2WD,236누3350,2021년,오토,"29,900,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
2021.01.05,"66,936km",가솔린,"3,342cc",미드나잇 블랙 펄,블랙모노톤,승용,5인승,2WD,250다8152,2021년,오토,"30,200,000","내비게이션, 하이패스, 열선 스티어링 휠, 열선시트(1열/2열), 통풍시트(1열), 전동시트(1열), 가죽 시트, 전동식 트렁크, 헤드업 디스플레이, 서라운드 뷰 모니터, 후방 모니터, 후측방 경보 시스템, 차선 이탈 경보, 스마트 크루즈 컨트롤, 전방 주차거리 경고"
